bucket,order,section,title,htmlFile,htmlUrl,sourceUrl
business-skill,28,,ココナラ完全攻略｜第1章 企画編：リサーチ,assets/materials/business-skill/html/0buu0.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/0buu0.html,https://learn.webcoach.jp/business-skill/0BUu0
business-skill,29,,ココナラ完全攻略｜第2-3章：企画編：ページ作成ー 商品説明文の構成を理解する,assets/materials/business-skill/html/2czzi.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/2czzi.html,https://learn.webcoach.jp/business-skill/2CzZI
business-skill,30,,ココナラ完全攻略｜第5章 実践編：リピート戦略,assets/materials/business-skill/html/enffg.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/enffg.html,https://learn.webcoach.jp/business-skill/EnFfg
business-skill,31,,ココナラ完全攻略｜第2-1章：企画編：ページ作成ー ベネフィットの見つけ方を覚える,assets/materials/business-skill/html/qjlxp.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/qjlxp.html,https://learn.webcoach.jp/business-skill/QJLxp
business-skill,32,,ココナラ完全攻略｜第4章 実践編：ブラッシュアップ,assets/materials/business-skill/html/qklis.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/qklis.html,https://learn.webcoach.jp/business-skill/QkLis
business-skill,33,,ココナラ完全攻略｜第2-2章：企画編：ページ作成ー キャッチコピーの作り方を覚える,assets/materials/business-skill/html/tdvlm.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/tdvlm.html,https://learn.webcoach.jp/business-skill/TDVLM
business-skill,34,,ココナラ完全攻略｜第3章 実践編：玄関口を増やす（5商品→20商品）,assets/materials/business-skill/html/bwkvg.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/bwkvg.html,https://learn.webcoach.jp/business-skill/bwKVG
coding,0,環境セットアップ,VSCodeの使い方,assets/materials/coding/html/lpqye.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/lpqye.html,https://learn.webcoach.jp/coding/%E7%92%B0%E5%A2%83%E3%82%BB%E3%83%83%E3%83%88%E3%82%A2%E3%83%83%E3%83%97/LpqYE
coding,1,環境セットアップ,開発 TIPS - 応用編 -,assets/materials/coding/html/unjfd.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/unjfd.html,https://learn.webcoach.jp/coding/%E7%92%B0%E5%A2%83%E3%82%BB%E3%83%83%E3%83%88%E3%82%A2%E3%83%83%E3%83%97/unJfD
coding,2,,Shopify-基礎編-【4章 ストアデザインをカスタマイズ】,assets/materials/coding/html/db1kt.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/db1kt.html,https://learn.webcoach.jp/coding/Db1KT
coding,3,ECサイト構築,EC - 概論 -,assets/materials/coding/html/but9e.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/but9e.html,https://learn.webcoach.jp/coding/EC%E3%82%B5%E3%82%A4%E3%83%88%E6%A7%8B%E7%AF%89/buT9e
coding,4,ECサイト構築,Shopify - 基礎編 -,assets/materials/coding/html/ipujz.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/ipujz.html,https://learn.webcoach.jp/coding/EC%E3%82%B5%E3%82%A4%E3%83%88%E6%A7%8B%E7%AF%89/ipuJz
coding,5,ECサイト構築,Shopify - 実践編 -,assets/materials/coding/html/m5sgq.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/m5sgq.html,https://learn.webcoach.jp/coding/EC%E3%82%B5%E3%82%A4%E3%83%88%E6%A7%8B%E7%AF%89/m5sgq
coding,6,,Shopify-基礎編-【1章 Shopifyとは？】,assets/materials/coding/html/zwllc.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/zwllc.html,https://learn.webcoach.jp/coding/ZwLLC
coding,7,,Shopify-基礎編-【3章 商品を登録して販売開始しよう】,assets/materials/coding/html/i6gz8.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/i6gz8.html,https://learn.webcoach.jp/coding/i6gz8
coding,8,jQuery,jQueryでWEBサイトに動きをつけよう,assets/materials/coding/html/qbtlj.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/qbtlj.html,https://learn.webcoach.jp/coding/jQuery/qBtlj
coding,9,,Shopify-基礎編-【5章 集客して売上アップを目指そう】,assets/materials/coding/html/kzyqs.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/kzyqs.html,https://learn.webcoach.jp/coding/kzyqs
coding,10,,Shopify-基礎編-【2章 オンラインストアを開設しよう】,assets/materials/coding/html/metsk.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/coding/metsk.html,https://learn.webcoach.jp/coding/metsK
generative-ai,0,AI_SNS/教材０AI時代のSNS運用戦略 - 効率化と成果最大化への道,2章 SNS運用のPDCAをAIで変革する -活用可能性マップ-,assets/materials/generative-ai/html/dywaw.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/generative-ai/dywaw.html,https://learn.webcoach.jp/generative-ai/AI_SNS/%E6%95%99%E6%9D%90%EF%BC%90AI%E6%99%82%E4%BB%A3%E3%81%AESNS%E9%81%8B%E7%94%A8%E6%88%A6%E7%95%A5%20-%20%E5%8A%B9%E7%8E%87%E5%8C%96%E3%81%A8%E6%88%90%E6%9E%9C%E6%9C%80%E5%A4%A7%E5%8C%96%E3%81%B8%E3%81%AE%E9%81%93/DywaW
